"Use 1-3, Do not use 0. Higher number gets priority in any area.",,,,,,,,,,,
"Preference","key","value","link","help",,,,,,,
0,"aeroway","heliport","http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Dheliport","  Heliport is used to map the main area details for helicopters.
",,,,,,,
0,"aeroway","navigationaid","http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Dnavigationaid","  Radio navigation aid is used to mark systems that determine a position on the Earth which helps pilots guide their aircraft during flight.
",,,,,,,
0,"aeroway","runway","http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Drunway","  Runway is a rectangular area in which aerodrome are prepared for the landing and takeoff of aircraft.
",,,,,,,
0,"aeroway","taxiway","http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Dtaxiway","  Taxiway is a path on an airport connecting runways with ramps, hangars, terminals and other facilities.
",,,,,,,
2,"aeroway","terminal","http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Dterminal","  Airport terminal is a building at an airport where passengers transfer between ground transportation and the facilities that allow them to board and disembark from aircraft.
",,,,,,,
0,"aeroway","windsock","http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Dwindsock","  Windsock is designed to indicate wind direction and relative wind speed.
",,,,,,,
2,"amenity","bar","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbar"," Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.
",,,,,,,
1,"amenity","bbq","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbbq"," BBQ or Barbecue is a permanently built grill for cooking food, which is most typically used outdoors by the public. For example these may be found in city parks or at beaches. Use the tag fuel=* to specify the source of heating, such as fuel=wood;electric;charcoal. For mapping nearby table and chairs, see also the tag tourism=picnic_site. For mapping campfires and firepits, instead use the tag leisure=firepit.
",,,,,,,
0,"amenity","biergarten","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbiergarten"," Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.
",,,,,,,
1,"amenity","cafe","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcafe"," Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet=*. See also the tags amenity=restaurant;bar;fast_food.
",,,,,,,
0,"amenity","drinking_water","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddrinking_water"," Drinking water is a place where humans can obtain potable water for consumption. Typically, the water is used for only drinking. Also known as a drinking fountain or bubbler.
",,,,,,,
0,"amenity","fast_food","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfast_food"," Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet=*.
",,,,,,,
0,"amenity","food_court","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfood_court"," An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.
",,,,,,,
0,"amenity","ice_cream","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dice_cream"," Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter
",,,,,,,
2,"amenity","pub","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpub"," A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub
",,,,,,,
1,"amenity","restaurant","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Drestaurant"," Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet=*.
",,,,,,,
1,"amenity","college","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcollege"," A college campus or buildings
",,,,,,,
0,"amenity","kindergarten","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dkindergarten"," For children too young for a regular school (also known as playschool or nursery school).
",,,,,,,
3,"amenity","library","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlibrary"," A public library (municipal, university, …) to borrow books from.
",,,,,,,
0,"amenity","public_bookcase","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpublic_bookcase"," A street furniture containing books. Take one or leave one.
",,,,,,,
0,"amenity","school","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dschool"," School and grounds
",,,,,,,
0,"amenity","music_school","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dmusic_school"," Music school
",,,,,,,
0,"amenity","driving_school","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddriving_school"," Driving School
",,,,,,,
0,"amenity","language_school","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlanguage_school"," Language School
",,,,,,,
2,"amenity","university","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Duniversity"," An university campus
",,,,,,,
0,"amenity","bicycle_parking","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbicycle_parking"," Parking for bicycles
",,,,,,,
0,"amenity","bicycle_repair_station","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbicycle_repair_station"," Self-service repair stand
",,,,,,,
0,"amenity","bicycle_rental","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbicycle_rental"," Rent a bicycle
",,,,,,,
0,"amenity","boat_sharing","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dboat_sharing"," Share a Boat
",,,,,,,
2,"amenity","bus_station","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbus_station"," May also be tagged as public_transport=station.
",,,,,,,
0,"amenity","car_rental","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcar_rental"," Rent a car
",,,,,,,
0,"amenity","car_sharing","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcar_sharing"," Share a car
",,,,,,,
0,"amenity","car_wash","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcar_wash"," Wash a car
",,,,,,,
0,"amenity","charging_station","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcharging_station"," Charging facility for electric vehicles
",,,,,,,
1,"amenity","ferry_terminal","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dferry_terminal"," Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry.
",,,,,,,
0,"amenity","fuel","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfuel"," Petrol station; gas station; marine fuel; … Streets to petrol stations are often tagged highway=service.
",,,,,,,
0,"amenity","grit_bin","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dgrit_bin"," A container that holds grit or a mixture of salt and grit.
",,,,,,,
0,"amenity","motorcycle_parking","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dmotorcycle_parking"," Parking for motorcycles
",,,,,,,
0,"amenity","parking","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dparking"," Car park. Nodes and areas (without access tag) will get a parking symbol. Areas will be coloured. Streets on car parking are often tagged highway=service and service=parking_aisle.
",,,,,,,
0,"amenity","parking_entrance","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dparking_entrance"," An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags type=site and site=parking. Do not mix with amenity=parking.
",,,,,,,
0,"amenity","parking_space","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dparking_space"," A single parking space. Group multiple parking spaces together with a relation using the tags type=site and site=parking. Do not mix with amenity=parking.
",,,,,,,
0,"amenity","taxi","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtaxi"," A place where taxis wait for passengers.
",,,,,,,
0,"amenity","atm","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Datm"," an ATM or cash point
",,,,,,,
1,"amenity","bank","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbank"," a bank (for a bank that also has an ATM, it is preferred that a separate node for each ATM is added)
",,,,,,,
0,"amenity","bureau_de_change","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbureau_de_change"," Bureau de change, currency exchange, Wechsel, cambio – a place to change foreign bank notes and travellers cheques
",,,,,,,
0,"amenity","baby_hatch","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbaby_hatch"," A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted.
",,,,,,,
1,"amenity","clinic","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dclinic","  A medium-sized medical facility or health centre.
",,,,,,,
0,"amenity","dentist","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddentist"," A dentist practice / surgery.
",,,,,,,
0,"amenity","doctors","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddoctors"," A doctor's practice / surgery.
",,,,,,,
2,"amenity","hospital","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dhospital"," Often used in conjunction with emergency=* to note whether or not the hospital has emergency facilities (A&E (brit.) or ER (am.))
",,,,,,,
0,"amenity","nursing_home","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dnursing_home"," A home for disabled or elderly persons who need permanent care. See social_facility=* for more details.
",,,,,,,
0,"amenity","pharmacy","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpharmacy"," Pharmacydispensing=yesdispensing=no or omitted
",,,,,,,
2,"amenity","social_facility","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dsocial_facility"," A facility that provides social services.
",,,,,,,
0,"amenity","veterinary","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dveterinary"," A place where a veterinary surgeon (vet) practices.
",,,,,,,
1,"amenity","arts_centre","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Darts_centre"," A venue where a variety of arts are performed or conducted
",,,,,,,
0,"amenity","brothel","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbrothel"," An establishment specifically dedicated to prostitution
",,,,,,,
0,"amenity","casino","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcasino","  A gambling venue with at least one table game(e.g. roulette, blackjack) that takes bets on sporting and other events at agreed upon odds.
",,,,,,,
2,"amenity","cinema","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcinema"," A place where films are shown (US: movie theater)
",,,,,,,
1,"amenity","community_centre","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcommunity_centre"," A place mostly used for local events and festivities.
",,,,,,,
3,"amenity","fountain","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfountain"," A fountain for cultural / decorational / recreational purposes.
",,,,,,,
0,"amenity","gambling","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dgambling","  A place for gambling, not being a shop=bookmaker, shop=lottery, amenity=casino, or leisure=adult_gaming_centre.
Games that are covered by this definition include bingo and pachinko.

",,,,,,,
0,"amenity","nightclub","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dnightclub"," A place to drink and dance (nightclub). The German word is \Disco\"" or \""Discothek\"". Please don't confuse this with the German \""Nachtclub\"" which is most likely  amenity=stripclub.",,,,,,,
0,",
amenity""","stripclub","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dstripclub"," A place to drink and dance (nightclub). The German word is \Disco\"" or \""Discothek\"". Please don't confuse this with the German \""Nachtclub\"" which is most likely  amenity=stripclub.",,,,,,,
3,",
amenity""","planetarium","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dplanetarium"," A planetarium.
",,,,,,,
0,"amenity","social_centre","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dsocial_centre"," A place for free and not-for-profit activities.
",,,,,,,
0,"amenity","stripclub","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dstripclub"," A place that offers striptease or lapdancing (for sexual services use amenity=brothel).
",,,,,,,
0,"amenity","studio","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dstudio"," TV radio or recording studio
",,,,,,,
0,"amenity","swingerclub","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dswingerclub","  A club where people meet to have a party and group sex.
",,,,,,,
2,"amenity","theatre","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre"," A theatre or opera house. Use amenity=cinema for movie theaters.
",,,,,,,
0,"amenity","animal_boarding","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Danimal_boarding"," A facility where you, paying a fee, can bring your animal for a limited period of time (e.g. for holidays)
",,,,,,,
0,"amenity","animal_shelter","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Danimal_shelter"," A shelter that recovers animals in trouble
",,,,,,,
0,"amenity","bench","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbench"," A bench to sit down and relax a bit
",,,,,,,
0,"amenity","clock","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dclock"," A public visible clock
",,,,,,,
3,"amenity","courthouse","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcourthouse"," A place where justice is dispensed
",,,,,,,
0,"amenity","coworking_space","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcoworking_space"," A place where people can go to work (might require a fee); not limited to a single employer
",,,,,,,
0,"amenity","crematorium","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcrematorium","  A place where dead human bodies are burnt
",,,,,,,
0,"amenity","crypt","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcrypt","  It is a stone chamber or vault beneath the floor of a burial vault possibly containing sarcophagi, coffins or relics.
",,,,,,,
0,"amenity","dive_centre","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddive_centre","  A dive center is the base location where sports divers usually start scuba diving or make dive guided trips at new locations.
",,,,,,,
1,"amenity","dojo","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddojo","  Training place for any of the Japanese arts.
",,,,,,,
2,"amenity","embassy","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dembassy"," An embassy
",,,,,,,
2,"amenity","fire_station","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfire_station"," A fire station
",,,,,,,
0,"amenity","game_feeding","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dgame_feeding"," Game feeding place
",,,,,,,
0,"amenity","grave_yard","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dgrave_yard"," A (smaller) place of burial, often you'll find a church nearby. Large places should be landuse=cemetery instead.
",,,,,,,
0,"amenity","hunting_stand","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dhunting_stand"," A hunting stand
",,,,,,,
0,"amenity","internet_cafe","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dinternet_cafe"," A place whose principal role is providing internet services to the public.
",,,,,,,
0,"amenity","kneipp_water_cure","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dkneipp_water_cure"," Outdoor foot bath facility. Usually this is a pool with cold water and handrail. Popular in German speaking countries.
",,,,,,,
1,"amenity","marketplace","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dmarketplace"," A place where trade is regulated, e.g. a square.
",,,,,,,
0,"amenity","photo_booth","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dphoto_booth","  Photo Booth – A stand to create instant photo.
",,,,,,,
3,"amenity","place_of_worship","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dplace_of_worship"," A church, mosque, or temple, etc. Note that you also need religion=*, usually denomination=* and preferably name=* as well as amenity=place_of_worship. See the article for details.
",,,,,,,
1,"amenity","police","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpolice"," A police station
",,,,,,,
0,"amenity","post_box","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpost_box"," A box for the reception of mail. Alternative mail-carriers can be tagged via operator=*
",,,,,,,
3,"amenity","post_office","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpost_office"," Post office building with postal services
",,,,,,,
0,"amenity","prison","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dprison"," A prison
",,,,,,,
0,"amenity","ranger_station","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dranger_station"," National Park Visitor Headquarters
",,,,,,,
0,"amenity","recycling","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Drecycling"," Recycling facilities (bottle banks, etc.). Combine with recycling_type=container for containers or recycling_type=centre for recycling centres.
",,,,,,,
0,"amenity","rescue_station","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Drescue_station"," A rescue station
",,,,,,,
0,"amenity","sauna","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dsauna"," A small room or house to experience dry or wet heat sessions.  Also frequently used: leisure=sauna
",,,,,,,
0,"amenity","shelter","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dshelter"," A small shelter against bad weather conditions. To additionally describe the kind of shelter use shelter_type=*.
",,,,,,,
0,"amenity","shower","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dshower"," Public shower or bath.
",,,,,,,
0,"amenity","telephone","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtelephone"," Public telephone
",,,,,,,
0,"amenity","toilets","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtoilets"," Public toilets (might require a fee)
",,,,,,,
3,"amenity","townhall","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtownhall"," Building where the administration of a village, town or city may be located, or just a community meeting place
",,,,,,,
0,"amenity","vending_machine","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dvending_machine"," A machine selling goods – food, tickets, newspapers, etc. Add type of goods using vending=*
",,,,,,,
0,"amenity","waste_basket","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dwaste_basket"," A single small container for depositing garbage that is easily accessible for pedestrians.
",,,,,,,
0,"amenity","waste_disposal","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dwaste_disposal"," A place where canal boaters, caravaners, etc. can dispose of rubbish (trash/waste).
",,,,,,,
0,"amenity","waste_transfer_station","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dwaste_transfer_station"," A waste transfer station is a location that accepts, consolidates and transfers waste in bulk.
",,,,,,,
0,"amenity","watering_place","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dwatering_place"," Place where water is contained and animals can drink
",,,,,,,
0,"amenity","water_point","http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dwater_point"," Place where you can get large amounts of drinking water
",,,,,,,
0,"barrier","cable_barrier","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dcable_barrier","  Way. Also called guard cable. This is a road side or median barrier made of steel wire ropes mounted on weak posts. See also the more extensive wikipedia description.
",,,,,,,
0,"barrier","city_wall","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dcity_wall"," A fortification used to defend a city or settlement from potential aggressors. From ancient to modern times, they are used to enclose settlements.
 Right side is bottom, left side is top.
 If both sides are same height then add \two_sided=yes\"".",,,,,,,
0,",
barrier""","ditch","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dditch"," A trench, ditch or ravine, usually with a stream at the bottom, that is not easily crossed, especially if not on foot. Can be used in combination with waterway=stream or waterway=drain.
",,,,,,,
0,"barrier","fence","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dfence"," A structure supported by posts driven into the ground and designed to prevent movement across a boundary. It is distinguished from a wall by the lightness of its construction. Use fence_type=* to add details.
",,,,,,,
0,"barrier","guard_rail","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dguard_rail"," A guard_rail, also called a crash barrier. Right side is inner, left side is outer.
",,,,,,,
0,"barrier","handrail","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dhandrail"," is designed to be grasped by the hand so as to provide stability or support.
",,,,,,,
0,"barrier","hedge","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dhedge"," is a line of closely spaced shrubs and bushes, planted and trained in such a way as to form a barrier or to mark the boundary of an area.
",,,,,,,
0,"barrier","kerb","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dkerb"," A (for example footway) kerb is a barrier for vehicles and wheelchair drivers. The height of the kerb is important and with this information, the usage by different groups can be determined. The height of the kerb is tagged additionally as height=*, if available. Right side is bottom, left side is top.
",,,,,,,
0,"barrier","retaining_wall","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dretaining_wall"," Retaining walls serve to retain the lateral pressure of soil. Right side is bottom, left side is top.
",,,,,,,
0,"barrier","tank_trap","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dtank_trap"," Static anti-tank obstacle defences may take a number of forms, such as Czech hedgehog (barrier=tank_trap; tank_trap=czech_hedgehog).
",,,,,,,
0,"barrier","wall","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dwall"," A freestanding solid structure designed to restrict or prevent movement across a boundary.  Usually made from solid brick, concrete or stone and almost always built so that it is opaque to vision.
",,,,,,,
0,"barrier","block","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dblock"," A large, solid, immobile block that can be moved only with heavy machinery or great effort. Typically big solid things made of concrete for stopping larger vehicles. Sometimes natural boulders are used for the same purpose.
",,,,,,,
0,"barrier","bollard","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dbollard"," Solid (usually concrete or metal) pillar or pillars in the middle of the road to prevent passage by some traffic.
",,,,,,,
2,"barrier","border_control","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dborder_control"," This is a control point at an international border between two countries.  Passports or other forms of ID will be checked.
",,,,,,,
0,"barrier","bump_gate","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dbump_gate","  See wikipedia:Bump gate
",,,,,,,
0,"barrier","bus_trap","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dbus_trap","  See wikipedia:Bus trap
",,,,,,,
0,"barrier","cattle_grid","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dcattle_grid"," Bars in the road surface that allow wheeled vehicles but not animals to cross. Sometimes known as a Texas Gate, even outside of Texas
",,,,,,,
0,"barrier","chain","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dchain"," A chain used to prevent motorised vehicles.
",,,,,,,
0,"barrier","cycle_barrier","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dcycle_barrier"," Barriers to bicycle traffic, most typically a pair of staggered steel bars perpendicular to the way itself whose gaps allow pedestrians to pass.
",,,,,,,
0,"barrier","debris","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Ddebris"," A road is blocked by debris with or without ground. This might be for short or long time. Often used as first step in blocking an abandoned road.
",,,,,,,
0,"barrier","entrance","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dentrance"," A gap in a linear barrier with nothing that limits passing through. access=yes is implied. The limitations are the same of the way that crosses it, if there is such.
",,,,,,,
0,"barrier","full-height_turnstile","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dfull-height_turnstile"," A full-height turnstile, also called HEET-turnstile (High Entrance/Exit Turnstile), like the ones to access security areas. Note the mix of hyphen and underscore.
",,,,,,,
0,"barrier","gate","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dgate"," An entrance that can be opened or closed to get through the barrier. Combine with access=* where appropriate.
",,,,,,,
0,"barrier","hampshire_gate","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dhampshire_gate"," A section of wire fence which can be removed temporarily. Combine with access=* where appropriate.
",,,,,,,
0,"barrier","height_restrictor","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dheight_restrictor"," Combine with maxheight=*.
",,,,,,,
0,"barrier","horse_stile","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dhorse_stile"," A horse stile allows pedestrians and horses to cross a gap through a fence, but prevents or makes it very difficult for motorcycles and live stock to cross.
",,,,,,,
0,"barrier","jersey_barrier","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Djersey_barrier"," A jersey barrier consists of heavy prefabricated blocks to create a barrier. Use material=plastic or material=concrete to express the used material.
",,,,,,,
0,"barrier","kent_carriage_gap","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dkent_carriage_gap"," A Kent carriage gap is used by local authorities in the UK to prevent motorised vehicles from accessing public rights of way whilst allowing most horse drawn carriages to pass. These are now becoming common on byways in the UK
",,,,,,,
0,"barrier","kissing_gate","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dkissing_gate"," A gate which allows people to cross, but not livestock.
",,,,,,,
0,"barrier","lift_gate","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dlift_gate"," A lift gate (boom barrier) is a bar, or pole pivoted in such a way as to allow the boom to block vehicular access through a controlled point. Combine with access=* where appropriate.
",,,,,,,
0,"barrier","log","http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dlog"," Use this when the passage is closed by lumber (trunk of a tree). This kind of barrier is often useful to sit on. This barrier is a penalty to cyclists but can be crossed by lifting the bike over.
",,,,,,,
